"active","parent_run_order","parent_layer_key","parent_display_name","child_order","child_key","child_display_name","split_field","split_value","metric_family","child_output_column","input_filter_mode","render_under_parent","notes"
"TRUE","45","jordart_25000_v7_1","Jordart 1:25 000 v7.1","8","farskvatten_organiskt_ovrigt","Jordart 1:25 000 v7.1 - Farskvatten och organiskt - ovrigt","tsym","FT","area_share","jordart_25000_v7_1_area_share_farskvatten_organiskt_ovrigt","field_equals","TRUE","Grouped remainder for freshwater and organic classes outside top five"
"TRUE","45","jordart_25000_v7_1","Jordart 1:25 000 v7.1","8","farskvatten_organiskt_ovrigt","Jordart 1:25 000 v7.1 - Farskvatten och organiskt - ovrigt","tsym","SØ","area_share","jordart_25000_v7_1_area_share_farskvatten_organiskt_ovrigt","field_equals","TRUE","Grouped remainder for freshwater and organic classes outside top five"
"TRUE","45","jordart_25000_v7_1","Jordart 1:25 000 v7.1","9","smaltvatten_ovrigt","Jordart 1:25 000 v7.1 - Smaltvatten - ovrigt","tsym","DG","area_share","jordart_25000_v7_1_area_share_smaltvatten_ovrigt","field_equals","TRUE","Grouped remainder for meltwater classes outside top five"
"TRUE","45","jordart_25000_v7_1","Jordart 1:25 000 v7.1","9","smaltvatten_ovrigt","Jordart 1:25 000 v7.1 - Smaltvatten - ovrigt","tsym","TG","area_share","jordart_25000_v7_1_area_share_smaltvatten_ovrigt","field_equals","TRUE","Grouped remainder for meltwater classes outside top five"
"TRUE","45","jordart_25000_v7_1","Jordart 1:25 000 v7.1","9","smaltvatten_ovrigt","Jordart 1:25 000 v7.1 - Smaltvatten - ovrigt","tsym","TL","area_share","jordart_25000_v7_1_area_share_smaltvatten_ovrigt","field_equals","TRUE","Grouped remainder for meltwater classes outside top five"
"TRUE","45","jordart_25000_v7_1","Jordart 1:25 000 v7.1","9","smaltvatten_ovrigt","Jordart 1:25 000 v7.1 - Smaltvatten - ovrigt","tsym","TS","area_share","jordart_25000_v7_1_area_share_smaltvatten_ovrigt","field_equals","TRUE","Grouped remainder for meltwater classes outside top five"
"TRUE","45","jordart_25000_v7_1","Jordart 1:25 000 v7.1","10","ovrigt_anlagt_okant","Jordart 1:25 000 v7.1 - Ovrigt anlagt eller okant","tsym","BY","area_share","jordart_25000_v7_1_area_share_ovrigt_anlagt_okant","field_equals","TRUE","Grouped remainder for urban fill or unknown classes outside top five"
"TRUE","45","jordart_25000_v7_1","Jordart 1:25 000 v7.1","10","ovrigt_anlagt_okant","Jordart 1:25 000 v7.1 - Ovrigt anlagt eller okant","tsym","O","area_share","jordart_25000_v7_1_area_share_ovrigt_anlagt_okant","field_equals","TRUE","Grouped remainder for urban fill or unknown classes outside top five"
"TRUE","45","jordart_25000_v7_1","Jordart 1:25 000 v7.1","10","ovrigt_anlagt_okant","Jordart 1:25 000 v7.1 - Ovrigt anlagt eller okant","tsym","X","area_share","jordart_25000_v7_1_area_share_ovrigt_anlagt_okant","field_equals","TRUE","Grouped remainder for urban fill or unknown classes outside top five"
"TRUE","46","prekvart_bornholm","Prekvart Bornholm","1","gnejs","Prekvart Bornholm - Gnejs","Bjergart","Gnejs","area_share","prekvart_bornholm_area_share_gnejs","field_equals","TRUE","Kept as one of the five largest Bornholm prekvart classes by clipped area"
