hex_id,h3_resolution,source_resolution,source_child_count,solar_score,solar_class,solar_class_label,solar_color,high_potential_share,class_km,landscape_type
871f0c916ffffff,7,9,11,12.6,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
871f0c932ffffff,7,9,8,14.0,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
871f0c936ffffff,7,9,33,15.0,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
871f0c984ffffff,7,9,9,21.2,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
871f0c986ffffff,7,9,9,21.3,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
871f0c994ffffff,7,9,29,18.2,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
871f0c995ffffff,7,9,5,14.6,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
871f0c9a0ffffff,7,9,33,12.7,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
871f0c9a2ffffff,7,9,34,20.5,very_low,Mycket låg,#8c3b3b,0.029,4,Brant relief och dalpräglat inland
871f0c9a4ffffff,7,9,49,33.5,low,Låg,#d88752,0.122,2,Vardagslandskap med blandad bakgrundskaraktär
871f0c9a5ffffff,7,9,21,17.5,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
871f0c9a6ffffff,7,9,49,47.2,medium,Medel,#e2c85f,0.286,2,Vardagslandskap med blandad bakgrundskaraktär
871f0c9b0ffffff,7,9,49,59.6,medium,Medel,#e2c85f,0.776,2,Vardagslandskap med blandad bakgrundskaraktär
871f0c9b1ffffff,7,9,49,31.8,low,Låg,#d88752,0.143,4,Brant relief och dalpräglat inland
871f0c9b2ffffff,7,9,49,27.9,low,Låg,#d88752,0.041,3,Flygsands- och låglänta kuststråk
871f0c9b3ffffff,7,9,49,27.1,low,Låg,#d88752,0.143,3,Flygsands- och låglänta kuststråk
871f0c9b4ffffff,7,9,49,45.7,medium,Medel,#e2c85f,0.449,3,Flygsands- och låglänta kuststråk
871f0c9b5ffffff,7,9,49,57.5,medium,Medel,#e2c85f,0.469,2,Vardagslandskap med blandad bakgrundskaraktär
871f0c9b6ffffff,7,9,49,30.5,low,Låg,#d88752,0.082,3,Flygsands- och låglänta kuststråk
871f2a0d8ffffff,7,9,47,0.5,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
871f2a0d9ffffff,7,9,19,8.2,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
871f2a0daffffff,7,9,28,1.1,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
871f2a0dbffffff,7,9,49,23.7,very_low,Mycket låg,#8c3b3b,0.082,4,Brant relief och dalpräglat inland
871f2a0dcffffff,7,9,3,0.0,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
871f2a0ddffffff,7,9,10,0.0,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
871f2a292ffffff,7,9,1,14.8,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
871f2a600ffffff,7,9,49,51.3,medium,Medel,#e2c85f,0.551,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a601ffffff,7,9,49,57.2,medium,Medel,#e2c85f,0.673,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a602ffffff,7,9,49,27.3,low,Låg,#d88752,0.02,3,Flygsands- och låglänta kuststråk
871f2a603ffffff,7,9,49,47.8,medium,Medel,#e2c85f,0.449,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a604ffffff,7,9,49,42.3,low,Låg,#d88752,0.265,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a605ffffff,7,9,49,56.8,medium,Medel,#e2c85f,0.673,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a606ffffff,7,9,49,20.6,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
871f2a608ffffff,7,9,49,67.5,high,Hög,#79b46b,0.959,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a609ffffff,7,9,49,46.7,medium,Medel,#e2c85f,0.551,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a60affffff,7,9,49,66.6,high,Hög,#79b46b,0.816,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a60bffffff,7,9,49,65.4,high,Hög,#79b46b,0.918,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a60cffffff,7,9,49,63.6,medium,Medel,#e2c85f,0.796,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a60dffffff,7,9,49,10.7,very_low,Mycket låg,#8c3b3b,0.061,5,Skogligt skyddsinland och habitatkärnor
871f2a60effffff,7,9,49,66.3,high,Hög,#79b46b,0.918,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a611ffffff,7,9,28,24.7,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
871f2a614ffffff,7,9,9,24.7,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
871f2a615ffffff,7,9,44,21.9,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
871f2a618ffffff,7,9,46,36.7,low,Låg,#d88752,0.065,3,Flygsands- och låglänta kuststråk
871f2a619ffffff,7,9,49,35.9,low,Låg,#d88752,0.265,3,Flygsands- och låglänta kuststråk
871f2a61bffffff,7,9,13,23.1,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
871f2a61cffffff,7,9,49,24.0,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
871f2a61dffffff,7,9,49,52.7,medium,Medel,#e2c85f,0.592,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a61effffff,7,9,16,25.9,low,Låg,#d88752,0.0,3,Flygsands- och låglänta kuststråk
871f2a620ffffff,7,9,49,43.1,low,Låg,#d88752,0.327,3,Flygsands- och låglänta kuststråk
871f2a621ffffff,7,9,49,68.7,high,Hög,#79b46b,0.98,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a622ffffff,7,9,49,24.0,very_low,Mycket låg,#8c3b3b,0.02,3,Flygsands- och låglänta kuststråk
871f2a623ffffff,7,9,49,55.8,medium,Medel,#e2c85f,0.551,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a624ffffff,7,9,49,29.7,low,Låg,#d88752,0.184,3,Flygsands- och låglänta kuststråk
871f2a625ffffff,7,9,49,63.2,medium,Medel,#e2c85f,0.857,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a626ffffff,7,9,40,20.6,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
871f2a628ffffff,7,9,49,69.3,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a629ffffff,7,9,49,57.9,medium,Medel,#e2c85f,0.755,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a62affffff,7,9,49,67.8,high,Hög,#79b46b,0.98,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a62bffffff,7,9,49,55.7,medium,Medel,#e2c85f,0.612,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a62cffffff,7,9,49,69.4,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a62dffffff,7,9,49,69.8,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a62effffff,7,9,49,66.9,high,Hög,#79b46b,0.939,2,Vardagslandskap med blandad bakgrundskaraktär
871f2a630ffffff,7,9,5,24.8,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
871f2a631ffffff,7,9,48,21.1,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
871f2a632ffffff,7,9,1,27.0,low,Låg,#d88752,0.0,1,Tätorts- och verksamhetskärnor
871f2a633ffffff,7,9,47,24.3,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
871f2a635ffffff,7,9,14,17.0,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
