solar_class,solar_class_label,hexagoner,medelpoang,min_poang,max_poang
very_low,Mycket låg,2826,14.61,0.0,24.9
low,Låg,908,27.44,25.0,31.7
medium,Medel,584,62.82,52.8,64.9
high,Hög,2968,68.42,65.0,70.0
