solar_class,solar_class_label,hexagoner,medelpoang,min_poang,max_poang
very_low,Mycket låg,371,14.13,0.0,24.9
low,Låg,213,33.43,25.0,44.7
medium,Medel,229,55.28,45.0,64.9
high,Hög,285,68.6,65.4,70.0
