solar_class,solar_class_label,hexagoner,medelpoang,min_poang,max_poang
very_low,Mycket låg,14,17.16,8.8,23.7
low,Låg,14,38.79,29.2,44.6
medium,Medel,5,52.28,45.1,57.6
high,Hög,2,65.9,65.3,66.5
