hex_id,h3_resolution,source_resolution,source_child_count,solar_score,solar_class,solar_class_label,solar_color,high_potential_share,class_km,landscape_type
861f0c917ffffff,6,9,11,12.6,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
861f0c937ffffff,6,9,41,14.8,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
861f0c987ffffff,6,9,18,21.3,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
861f0c997ffffff,6,9,34,17.7,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
861f0c9a7ffffff,6,9,186,29.2,low,Låg,#d88752,0.113,2,Vardagslandskap med blandad bakgrundskaraktär
861f0c9b7ffffff,6,9,343,40.0,low,Låg,#d88752,0.3,3,Flygsands- och låglänta kuststråk
861f2a0dfffffff,6,9,156,8.8,very_low,Mycket låg,#8c3b3b,0.026,4,Brant relief och dalpräglat inland
861f2a297ffffff,6,9,1,14.8,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
861f2a607ffffff,6,9,343,43.3,low,Låg,#d88752,0.376,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a60fffffff,6,9,343,55.3,medium,Medel,#e2c85f,0.717,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a617ffffff,6,9,81,23.2,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
861f2a61fffffff,6,9,222,35.7,low,Låg,#d88752,0.203,3,Flygsands- och låglänta kuststråk
861f2a627ffffff,6,9,334,44.2,low,Låg,#d88752,0.428,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a62fffffff,6,9,343,65.3,high,Hög,#79b46b,0.898,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a637ffffff,6,9,115,22.1,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
861f2a647ffffff,6,9,343,42.6,low,Låg,#d88752,0.545,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a64fffffff,6,9,325,34.2,low,Låg,#d88752,0.317,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a657ffffff,6,9,343,49.1,medium,Medel,#e2c85f,0.501,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a65fffffff,6,9,343,40.3,low,Låg,#d88752,0.367,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a667ffffff,6,9,329,57.6,medium,Medel,#e2c85f,0.69,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a66fffffff,6,9,205,41.9,low,Låg,#d88752,0.385,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a677ffffff,6,9,343,18.4,very_low,Mycket låg,#8c3b3b,0.163,5,Skogligt skyddsinland och habitatkärnor
861f2a6c7ffffff,6,9,25,23.7,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
861f2a6cfffffff,6,9,88,23.6,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
861f2a6e7ffffff,6,9,289,38.8,low,Låg,#d88752,0.287,3,Flygsands- och låglänta kuststråk
861f2a6efffffff,6,9,342,44.6,low,Låg,#d88752,0.424,3,Flygsands- och låglänta kuststråk
861f2a70fffffff,6,9,233,41.6,low,Låg,#d88752,0.356,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a71fffffff,6,9,10,16.4,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
861f2a72fffffff,6,9,44,14.0,very_low,Mycket låg,#8c3b3b,0.023,4,Brant relief och dalpräglat inland
861f2a747ffffff,6,9,248,35.5,low,Låg,#d88752,0.165,4,Brant relief och dalpräglat inland
861f2a74fffffff,6,9,149,31.2,low,Låg,#d88752,0.215,4,Brant relief och dalpräglat inland
861f2a757ffffff,6,9,343,66.5,high,Hög,#79b46b,0.895,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a75fffffff,6,9,343,54.3,medium,Medel,#e2c85f,0.545,2,Vardagslandskap med blandad bakgrundskaraktär
861f2a767ffffff,6,9,27,8.8,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
861f2a777ffffff,6,9,343,45.1,medium,Medel,#e2c85f,0.408,2,Vardagslandskap med blandad bakgrundskaraktär
