"metric","value"
"analysis_id","bornholm_v10_landscape_types"
"source_analysis","bornholm_v9_k8_interactive_layers"
"source_cluster_solution","v9/v3 K=8"
"method_status","interpreted synthesis / reclassification, not a new unsupervised clustering"
"main_output","five Bornholm landscape types"
"reference_typology","Bornholms Landskapstyper PDF, local reference material"
"method_reference","Kawalerowicz & Malmberg 2021, factor scores -> clustering -> interpreted naming"
"map_hex_count","47117"
