"K","silhouette","silhouette_basis"
5,0.251589603950794,"full"
7,0.224984123805544,"full"
6,0.220475673793504,"full"
9,0.210789850413849,"full"
8,0.21058775405533,"full"
10,0.191362788593371,"full"
