"metric","F1","F2","F3","F4","F5"
"SS loadings",61.2729352939697,55.4404981043867,52.5992379959817,50.9537478766888,29.358349178687
"Proportion Var",0.0914521422298055,0.0827470120960995,0.0785063253671369,0.0760503699652072,0.0438184316099806
"Cumulative Var",0.0914521422298055,0.174199154325905,0.252705479693042,0.328755849658249,0.37257428126823
"Proportion Explained",0.245460158759498,0.222095341134207,0.210713216972208,0.204121362608107,0.11760992052598
"Cumulative Proportion",0.245460158759498,0.467555499893705,0.678268716865913,0.88239007947402,1
