"class_km","F1","F2","F3","F4","F5","n_hex"
1,-0.277261213386117,0.00279182991113572,-0.195363675449215,3.80886077658878,0.174552000556553,301
2,-0.442764196612235,-0.282938427006523,-0.41836508105824,-0.233681363728235,-0.22080120608303,3552
3,1.3702907538425,-0.323317654075976,-0.0366851910082597,-0.0730197525232785,0.0586945381868947,1591
4,0.00419121768125689,1.73740597283444,-0.176599944550138,0.0205963636445308,0.539883349879015,990
5,-0.61986836064793,-0.236474851581294,2.08689826083081,-0.258975191941403,0.121922776061096,852
