hex_id,h3_resolution,source_h3_resolution,source_child_hex_count,wind_eligible,solar_eligible,wind_hard_stop,solar_hard_stop,wind_establishment_placement_score,solar_establishment_placement_score,wind_hard_stop_reasons,solar_hard_stop_reasons,wind_exclusion_reason,solar_exclusion_reason,grid_component,road_component,wind_settlement_component,solar_settlement_component,protected_component,culture_component,coastal_component,aviation_component,military_component,grid_distance_m,road_distance_m,settlement_distance_m,protected_distance_m,culture_distance_m,coastal_hard_distance_m,coastal_zone_distance_m,aviation_bird_distance_m,military_distance_m
891f2a6248fffff,9,10,7,False,False,True,True,46.0,51.0,buildings_low;nature_area_forest;protected_areas;valuable_cultural_environment,buildings_low;nature_area_forest;protected_areas;valuable_cultural_environment,buildings_low;nature_area_forest;protected_areas;valuable_cultural_environment,buildings_low;nature_area_forest;protected_areas;valuable_cultural_environment,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.2,254.8,162.9,0.0,0.0,344.8,0.0,0.0,3899.3
891f2a62493ffff,9,10,7,False,False,True,True,35.98,38.11,buildings_low;built_low_selection;nature_area_forest;protected_areas;strand_protection;valuable_cultural_environment,buildings_low;built_low_selection;nature_area_forest;protected_areas;strand_protection;valuable_cultural_environment,buildings_low;built_low_selection;nature_area_forest;protected_areas;strand_protection;valuable_cultural_environment,buildings_low;built_low_selection;nature_area_forest;protected_areas;strand_protection;valuable_cultural_environment,1.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,254.7,42.6,82.7,0.0,0.0,46.5,0.0,0.0,4450.5
891f2a62497ffff,9,10,7,False,False,True,True,46.0,51.0,buildings_low;built_low_selection;nature_area_forest;protected_areas;valuable_cultural_environment,buildings_low;built_low_selection;nature_area_forest;protected_areas;valuable_cultural_environment,buildings_low;built_low_selection;nature_area_forest;protected_areas;valuable_cultural_environment,buildings_low;built_low_selection;nature_area_forest;protected_areas;valuable_cultural_environment,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,377.3,253.1,49.5,0.0,0.0,384.1,0.0,0.0,4420.4
891f2a6249bffff,9,10,7,False,False,True,True,46.0,55.64,nature_area_forest;protected_areas;strand_protection;valuable_cultural_environment,nature_area_forest;protected_areas;strand_protection;valuable_cultural_environment,nature_area_forest;protected_areas;strand_protection;valuable_cultural_environment,nature_area_forest;protected_areas;strand_protection;valuable_cultural_environment,1.0,1.0,0.0,0.2576,0.0,0.0,0.0,0.0,1.0,55.5,183.3,241.7,0.0,0.0,0.0,0.0,0.0,4219.3
891f2a624a3ffff,9,10,7,True,True,False,False,52.43,64.63,,,,,1.0,1.0,0.0218,0.3993,0.2047,0.3448,0.0,0.0,1.0,73.8,691.6,319.6,204.7,310.3,1017.1,0.0,0.0,3914.5
891f2a624a7ffff,9,10,7,True,True,False,False,62.71,76.78,,,,,1.0,1.0,0.1268,0.5711,0.541,0.7209,0.0,0.0,1.0,183.3,376.3,414.1,541.0,648.8,1351.9,0.0,0.0,3965.7
891f2a624abffff,9,10,7,False,False,True,True,48.48,53.48,buildings_low;protected_areas,buildings_low;protected_areas,buildings_low;protected_areas,buildings_low;protected_areas,1.0,1.0,0.0,0.0,0.0,0.3099,0.0,0.0,1.0,185.4,539.3,104.1,24.9,278.9,851.1,0.0,0.0,3637.6
891f2a624afffff,9,10,7,True,True,False,False,58.47,72.05,,,,,1.0,1.0,0.116,0.5535,0.3555,0.5867,0.0,0.0,1.0,0.3,431.1,404.4,355.5,528.0,1189.7,0.0,0.0,3675.9
891f2a624b3ffff,9,10,7,False,False,True,True,48.39,53.39,buildings_low;nature_area_forest;protected_areas,buildings_low;nature_area_forest;protected_areas,buildings_low;nature_area_forest;protected_areas,buildings_low;nature_area_forest;protected_areas,1.0,1.0,0.0,0.0,0.0,0.2982,0.0,0.0,1.0,267.9,661.8,85.5,158.0,268.4,848.8,0.0,0.0,4161.8
891f2a624b7ffff,9,10,7,True,True,False,False,58.05,69.08,,,,,1.0,1.0,0.0,0.286,0.4398,0.6269,0.0,0.0,1.0,380.8,423.3,257.3,439.8,564.2,1186.3,0.0,0.0,4197.4
891f2a624bbffff,9,10,7,False,False,True,True,46.0,51.0,buildings_low;nature_area_forest;protected_areas;valuable_cultural_environment,buildings_low;nature_area_forest;protected_areas;valuable_cultural_environment,buildings_low;nature_area_forest;protected_areas;valuable_cultural_environment,buildings_low;nature_area_forest;protected_areas;valuable_cultural_environment,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,587.9,98.2,0.0,0.0,679.7,0.0,0.0,3892.2
891f2a624c3ffff,9,10,2,True,True,False,False,60.22,74.29,,,,,1.0,1.0,0.199,0.6893,0.4603,0.2028,0.1955,0.0796,1.0,675.8,638.2,479.1,460.3,182.5,182.5,195.5,159.1,3795.5
891f2a624c7ffff,9,10,7,False,False,True,True,51.38,63.39,strand_protection;valuable_cultural_environment,strand_protection;valuable_cultural_environment,strand_protection;valuable_cultural_environment,strand_protection;valuable_cultural_environment,1.0,1.0,0.0,0.3522,0.336,0.0,0.0,0.0,1.0,553.1,305.2,293.7,336.0,0.0,0.0,0.0,0.0,3710.6
891f2a624cfffff,9,10,6,False,False,True,True,56.29,65.77,strand_protection;valuable_cultural_environment,strand_protection;valuable_cultural_environment,strand_protection;valuable_cultural_environment,strand_protection;valuable_cultural_environment,1.0,1.0,0.0,0.1769,0.6434,0.0,0.0,0.0,1.0,863.2,559.9,197.3,643.4,0.0,0.0,23.0,0.0,3500.2
891f2a624d7ffff,9,10,7,False,False,True,True,46.53,58.42,protected_areas;strand_protection;valuable_cultural_environment,protected_areas;strand_protection;valuable_cultural_environment,protected_areas;strand_protection;valuable_cultural_environment,protected_areas;strand_protection;valuable_cultural_environment,1.0,1.0,0.0297,0.4122,0.0,0.0,0.0,0.0,1.0,365.6,410.8,326.7,156.8,0.0,0.0,0.0,0.0,4000.3
891f2a62503ffff,9,10,7,False,False,True,True,63.71,70.62,buildings_low,buildings_low,buildings_low,buildings_low,1.0,0.9847,0.0,0.0,1.0,0.224,0.0213,0.0,1.0,324.1,147.7,157.4,1347.4,201.6,2706.0,21.3,0.0,3808.6
