"class_km","n_hex","share"
1,1337,0.0266393034330232
2,5671,0.112992886887565
3,3767,0.0750562872342545
4,2084,0.0415230428978461
5,21006,0.418537926637311
6,12013,0.239355237203371
7,4311,0.0858953157066289
