layer_id,layer_key,label,group_id,source_path,source_exists,geometry_family,feature_count,geojson_path,distance_path,analysis_rds_path,analysis_base_buffer_m,status,message
power_substations,power_substation_osm_power_substation_edit_jf_1812_bor_33,Power substations,electrical,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Energy_BOR/OSM_Power-Substation_Edit-JF-1812_BOR_33.shp,TRUE,point,13,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/power_substations.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/power_substations.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/power_substations.rds,0,ok,
existing_wind_turbines,windturbine_rated_power_kw_ens_vindkraftanlaeg_bol_33,Existing wind turbines,electrical,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Energy_BOR/ENS_vindkraftanlaeg_BOL_33.shp,TRUE,point,71,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/existing_wind_turbines.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/existing_wind_turbines.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/existing_wind_turbines.rds,0,ok,
cultural_preservation,pdk_kulturhistoriskbevaringsvaerdi_vedtaget_wfs,Cultural preservation,culture,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Inkommande_SL01/IN_Bornholm_SL01/DATAKÄLLA_INNEHÅLL_BOL_SL01/Plan-og -Landdistriktsstyrelsen_PLST/PDK_Bornholm_2020-Adopted_121224/pdk_kulturhistoriskbevaringsvaerdi_vedtaget_wfs.shp,TRUE,polygon,16,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/cultural_preservation.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/cultural_preservation.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/cultural_preservation.rds,0,ok,
valuable_cultural_environment,valuable_cultural_environment_slks,Valuable cultural environment,culture,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/PDK_vaerdifuldtkulturmiljoe_BOR_32.shp,TRUE,polygon,123,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/valuable_cultural_environment.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/valuable_cultural_environment.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/valuable_cultural_environment.rds,0,ok,
cultural_conservation_values,cultural_and_historical_conservation_values_kulturhistoriske_bevaringsvardier_pdk_kulturhistoriskebevaringsvardier_bor_32,Cultural conservation values,culture,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/PDK_kulturhistoriskebevaringsværdier_BOR_32.shp,TRUE,polygon,16,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/cultural_conservation_values.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/cultural_conservation_values.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/cultural_conservation_values.rds,0,ok,
protected_areas,protected_areas_fredede_omrader_miljostyrelsen_st_mp_arealdata_fredede_omr_121224_diss_bor_32,Protected areas,protected,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/ST-MP-Arealdata_FREDEDE-OMR-121224_Diss_BOR+_32.shp,TRUE,polygon,1,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/protected_areas.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/protected_areas.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/protected_areas.rds,0,ok,
natura_designated_land,natura_2000_specially_designated_land_areas,Natura 2000 designated land,protected,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/MST-MP-Arealdata_Natura2000-saer-utpegt-omr_BOL+_32.shp,TRUE,polygon,143,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/natura_designated_land.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/natura_designated_land.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/natura_designated_land.rds,0,ok,
natura_bird_protection,natura_2000_bird_protection,Natura bird protection,protected,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/MST-MP-Arealdata_Natura2000-Bird-protection_BOL+_32.shp,TRUE,polygon,2,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/natura_bird_protection.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/natura_bird_protection.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/natura_bird_protection.rds,0,ok,
natura_habitat_areas,natura_2000_habitat_areas_dai,Natura habitat areas,protected,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/MST-MP-Arealdata_Natura2000-HABITAT-OMR_BOL+_32.shp,TRUE,polygon,7,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/natura_habitat_areas.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/natura_habitat_areas.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/natura_habitat_areas.rds,0,ok,
natura_ramsar,natura_2000_ramsar,Natura Ramsar,protected,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/MST-MP-Arealdata_Natura2000-Ramsar-omr_BOL+_32.shp,TRUE,empty,0,NA,NA,NA,0,empty_after_filter,Source layer contains no features after landmass clipping.
nature_wildlife_reserve,natur_vildt_reservat,Nature and wildlife reserve,protected,C:/gislab/landskapsanalys/data/raw/manual_extra_layers/NATUR_VILDT_RESERVAT.shp,TRUE,polygon,2,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/nature_wildlife_reserve.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/nature_wildlife_reserve.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/nature_wildlife_reserve.rds,0,ok,
aviation_approach_zones,aviation_approach_zones_tst,Aviation approach zones,aviation_approach,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/TST-NST_Aviation-Indflyvningzoner_BOL+_33.shp,TRUE,polygon,10,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/aviation_approach_zones.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/aviation_approach_zones.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/aviation_approach_zones.rds,0,ok,
aviation_bird_collision,aviation_bird_collision_zones_tst,Aviation bird-collision zones,aviation_bird,C:/gislab/landskapsanalys/data/raw/manual_extra_layers/ds_fuglekollision_wfs.shp,TRUE,polygon,1,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/aviation_bird_collision.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/aviation_bird_collision.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/aviation_bird_collision.rds,0,ok,
military_areas,militara_omraden_plst,Military areas,military,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/PDK_KPTA-V_Militar-ovn-omr_BOR_32.shp,TRUE,polygon,4,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/military_areas.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/military_areas.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/military_areas.rds,0,ok,
coastal_zone_3km,coastal_zone_kystnarhedszonen_3_km_miljoministeriet_plst_pdk_kystnaerhedszone_polygon_bor_32,Coastal zone 3 km,coastal,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/PDK_kystnaerhedszone-polygon_BOR_32.shp,TRUE,polygon,30,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/coastal_zone_3km.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/coastal_zone_3km.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/coastal_zone_3km.rds,0,ok,
strand_protection,strandbeskyttelse_miljostyrelsen_gds_mat2_strandbeskyttelse_merge_bor_32,Strand protection,coastal,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/GDS-MAT2_strandbeskyttelse__MERGE_BOR_32.shp,TRUE,polygon,1,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/strand_protection.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/strand_protection.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/strand_protection.rds,0,ok,
