hex_id,population,source_cell_count
880800650bfffff,4,1
880800651dfffff,6,2
8808006533fffff,1,1
8808006555fffff,6,1
8808006557fffff,21,4
8808006581fffff,4,1
8808006583fffff,5,1
8808006587fffff,4,1
8808006589fffff,12,2
880800658bfffff,14,4
880800658dfffff,8,1
8808006593fffff,13,2
8808006595fffff,8,1
8808006597fffff,7,1
880800659dfffff,12,5
88080065a5fffff,1,1
88080065a7fffff,4,1
88080065adfffff,27,4
88080065b1fffff,5,1
88080065b3fffff,8,1
88080065b7fffff,3,1
88080065bbfffff,5,1
88080065bdfffff,6,1
88080065c3fffff,5,1
88080065c5fffff,1,1
88080065c7fffff,33,4
88080065c9fffff,2,1
88080065d1fffff,10,4
88080065d7fffff,2,1
88080065d9fffff,7,3
88080065ddfffff,1,1
88080065e1fffff,10,4
88080065e5fffff,21,6
88080065e7fffff,27,3
88080065ebfffff,37,4
8808006601fffff,1,1
8808006615fffff,11,2
8808006617fffff,14,3
8808006619fffff,5,3
8808006633fffff,6,2
8808006637fffff,3,1
880800663bfffff,5,2
880800665bfffff,12,3
88080066a1fffff,364,6
88080066a3fffff,606,8
88080066a5fffff,131,3
88080066a7fffff,815,7
88080066a9fffff,243,4
88080066abfffff,1,1
88080066adfffff,424,6
88080066b1fffff,7,2
88080066b3fffff,10,1
88080066b5fffff,234,3
88080066b7fffff,6,1
88080066bdfffff,81,1
88080066e1fffff,11,2
88080066e5fffff,125,5
88080066e9fffff,1,1
88080066ebfffff,9,2
8808006805fffff,9,2
8808006823fffff,4,1
8808006827fffff,2,1
8808006829fffff,2,1
880800682bfffff,9,3
8808006837fffff,5,2
8808006851fffff,5,1
8808006855fffff,4,2
8808006857fffff,1,1
8808006859fffff,1,1
8808006861fffff,4,2
8808006863fffff,4,1
8808006869fffff,3,1
880800686dfffff,3,1
880800691bfffff,3,1
8808006925fffff,3,1
8808006931fffff,1,1
8808006967fffff,8,1
8808006969fffff,2,1
880800696bfffff,8,3
88080069c9fffff,2,1
8808006a05fffff,6,1
8808006a19fffff,1,1
8808006a29fffff,2,1
8808006a2bfffff,8,2
8808006a31fffff,14,3
8808006a33fffff,16,4
8808006a35fffff,6,2
8808006a37fffff,1,1
8808006a49fffff,3,1
8808006a4dfffff,4,3
8808006a53fffff,33,5
8808006a57fffff,3,2
8808006a5bfffff,4,1
8808006a69fffff,10,1
8808006a6dfffff,4,1
8808006a81fffff,2,1
8808006a85fffff,9,3
8808006a87fffff,2,2
8808006a99fffff,2,2
8808006adbfffff,3,1
8808006ae1fffff,9,2
8808006ae3fffff,6,1
8808006ae5fffff,15,4
8808006ae7fffff,13,2
8808006ae9fffff,12,3
8808006b15fffff,4,1
8808006b23fffff,5,1
8808006c59fffff,1,1
8808006c97fffff,9,2
8808006c9bfffff,19,3
8808006cb3fffff,1,1
8808006cbbfffff,5,1
8808006cc3fffff,3,2
8808006cd1fffff,12,2
8808006cd3fffff,23,3
8808006cd7fffff,4,1
8808006cd9fffff,5,2
8808006cdbfffff,25,5
8808006d41fffff,13,1
8808006d43fffff,3,1
8808006d49fffff,12,3
8808006d4bfffff,9,2
8808006d4dfffff,12,5
8808006d5dfffff,2,1
8808006d8dfffff,6,1
8808006d95fffff,2,1
8808006db1fffff,3,1
8808006db9fffff,1,1
8808006de3fffff,5,2
8808006debfffff,2,1
8808006e03fffff,3,1
8808006e09fffff,4,1
8808006e53fffff,2,1
8808006e59fffff,6,1
8808006e83fffff,10,2
8808006e87fffff,31,5
8808006e8dfffff,7,2
8808006e91fffff,8,3
8808006e97fffff,18,3
8808006e99fffff,15,4
8808006e9bfffff,1,1
8808006ea1fffff,5,2
8808006eabfffff,25,1
8808006eadfffff,1,1
8808006eb1fffff,14,6
8808006eb3fffff,24,5
8808006eb5fffff,2,1
8808006eb7fffff,5,2
8808006eb9fffff,11,1
8808006ebbfffff,14,3
8808006ebdfffff,27,3
8808006ed3fffff,11,4
8808006ed7fffff,2,1
8808006edbfffff,1,1
8808006ee1fffff,5,1
8808006ee9fffff,12,3
8808006eebfffff,10,2
8808006f25fffff,4,2
8808006f27fffff,2,2
8808006f31fffff,3,1
8808006f35fffff,1,1
8808006f37fffff,20,6
880800716dfffff,5,1
88080071a5fffff,7,3
88080071adfffff,3,1
8808007325fffff,2,1
880800736bfffff,2,1
8808007803fffff,6,3
8808007815fffff,2,1
8808007831fffff,9,3
8808007833fffff,9,2
8808007837fffff,12,3
8808007839fffff,4,2
8808007881fffff,3,1
8808007893fffff,2,1
88080078a5fffff,14,3
88080078adfffff,6,1
8808007905fffff,1,1
8808007923fffff,8,1
8808007929fffff,2,1
880800792bfffff,4,2
8808007989fffff,2,1
880800798bfffff,18,4
8808007991fffff,6,3
8808007993fffff,4,2
8808007995fffff,5,1
8808007997fffff,8,3
8808007999fffff,5,2
880800799bfffff,3,1
88080079a1fffff,10,3
88080079a3fffff,6,2
88080079a9fffff,5,2
88080079abfffff,13,2
88080079adfffff,30,4
88080079b3fffff,6,3
88080079bbfffff,2,1
88080079bdfffff,2,1
88080079c3fffff,3,2
88080079d3fffff,4,1
88080079d9fffff,3,2
88080079e7fffff,1,1
8808007a01fffff,1,1
8808007a07fffff,4,1
8808007a59fffff,14,3
8808007a97fffff,6,2
8808007a99fffff,2,1
8808007ab3fffff,9,2
8808007ab7fffff,13,2
8808007adbfffff,25,4
8808007b29fffff,16,4
8808007b2dfffff,2,1
8808007b43fffff,2,1
8808007b45fffff,1,1
8808007b51fffff,5,1
8808007b67fffff,4,1
8808007b6bfffff,2,1
880800a0b1fffff,3,2
880800a0b3fffff,4,2
880800a1b3fffff,4,1
880800a1b5fffff,4,2
880800a1b7fffff,8,3
880800a569fffff,2,1
880800a56dfffff,11,2
880800a5a1fffff,2,1
880800a5a3fffff,9,3
880800a5bdfffff,6,2
880800a809fffff,4,1
880800a817fffff,2,1
880800a855fffff,3,2
880800a857fffff,2,1
880800a885fffff,2,1
880800a88bfffff,3,2
880800a897fffff,7,1
880800a899fffff,2,1
880800a8a5fffff,1,1
