hex_id,population,source_cell_count
880802cb2dfffff,14,2
880802cb35fffff,10,1
880802cb61fffff,5,2
880802cb63fffff,19,3
880802cb65fffff,10,2
880802cb67fffff,12,1
880802cc01fffff,6,2
880802cc03fffff,18,3
880802cc07fffff,17,5
880802cc09fffff,22,5
880802cc0bfffff,24,3
880802cc0dfffff,13,2
880802cc11fffff,59,6
880802cc13fffff,7,1
880802cc17fffff,11,2
880802cc19fffff,13,2
880802cc1dfffff,5,1
880802cc21fffff,4,1
880802cc2dfffff,7,2
880802cc33fffff,12,3
880802cc35fffff,1,1
880802cc37fffff,20,3
880802cc39fffff,15,1
880802cc43fffff,8,2
880802cc45fffff,4,1
880802cc4bfffff,5,1
880802cc51fffff,178,6
880802cc53fffff,258,5
880802cc55fffff,22,3
880802cc57fffff,129,4
880802cc59fffff,17,6
880802cc5bfffff,17,2
880802cc5dfffff,5,1
880802cc61fffff,19,5
880802cc63fffff,21,2
880802cc65fffff,14,3
880802cc67fffff,5,2
880802cc69fffff,4,2
880802cc6bfffff,11,3
880802cc81fffff,6,1
880802cc83fffff,8,2
880802cc85fffff,20,4
880802cc87fffff,3,1
880802cc8bfffff,10,3
880802cc8dfffff,3,1
880802cc93fffff,2,1
880802cc95fffff,9,2
880802cc99fffff,5,1
880802cc9dfffff,7,3
880802cca1fffff,1,1
880802cca3fffff,7,2
880802cca7fffff,3,1
880802ccabfffff,5,2
880802ccadfffff,11,3
880802ccb1fffff,3,2
880802ccb3fffff,15,4
880802ccb7fffff,23,3
880802ccbdfffff,7,2
880802ccc1fffff,18,3
880802ccc3fffff,10,2
880802ccc5fffff,7,2
880802ccc7fffff,9,4
880802ccc9fffff,3,2
880802ccd3fffff,4,1
880802ccd5fffff,6,2
880802ccd9fffff,4,2
880802ccdbfffff,23,2
880802cce1fffff,1,1
880802cce3fffff,17,2
880802cce9fffff,13,3
880802ccedfffff,8,2
880802cd09fffff,9,2
880802cd47fffff,7,1
880802cd49fffff,1,1
880802cd59fffff,10,3
880802cd5bfffff,1,1
880802cd5dfffff,1,1
880802cd69fffff,10,2
880802cd81fffff,6,1
880802cd89fffff,1,1
880802cd8bfffff,7,2
880802cd91fffff,5,1
880802cd93fffff,31,5
880802cd95fffff,2,1
880802cd97fffff,9,3
880802cd99fffff,20,3
880802cd9bfffff,5,2
880802cd9dfffff,10,2
880802cda5fffff,8,2
880802cdb1fffff,8,2
880802cdb3fffff,10,2
880802cdb7fffff,3,2
880802cdbbfffff,4,2
880802cdc1fffff,10,2
880802cdc3fffff,7,2
880802cdc7fffff,2,1
880802cdcbfffff,4,1
880802cdd3fffff,26,2
880802cdd5fffff,8,2
880802cdd7fffff,7,1
880802cdd9fffff,2,1
880802cdddfffff,5,2
880802ce0dfffff,5,1
880802ce19fffff,13,1
880802ce21fffff,5,2
880802ce23fffff,5,2
880802ce25fffff,4,1
880802ce29fffff,7,1
880802ce2dfffff,2,1
880802ce31fffff,12,3
880802ce33fffff,20,5
880802ce35fffff,9,2
880802ce37fffff,7,2
880802ce3bfffff,12,4
880802ce3dfffff,23,5
880802ce41fffff,8,1
880802ce43fffff,15,2
880802ce45fffff,6,2
880802ce47fffff,5,2
880802ce49fffff,7,2
880802ce4bfffff,6,1
880802ce51fffff,14,3
880802ce53fffff,6,2
880802ce55fffff,14,2
880802ce57fffff,5,1
880802ce59fffff,23,2
880802ce5bfffff,9,2
880802ce61fffff,6,2
880802ce63fffff,2,1
880802ce69fffff,23,4
880802ce6bfffff,16,2
880802ce6dfffff,9,1
880802ce81fffff,9,2
880802ce83fffff,16,3
880802ce85fffff,262,5
880802ce87fffff,7,1
880802ce89fffff,1,1
880802ce8bfffff,9,2
880802ce8dfffff,2,1
880802ce91fffff,19,3
880802ce93fffff,24,4
880802ce95fffff,11,2
880802ce97fffff,21,3
880802ce9dfffff,13,2
880802cea1fffff,45,3
880802cea5fffff,4,1
880802cea7fffff,11,1
880802cea9fffff,139,8
880802ceabfffff,53,4
880802ceadfffff,51,3
880802ceb1fffff,5,1
880802ceb9fffff,9,2
880802cebbfffff,10,1
880802cebdfffff,3,2
880802cec1fffff,4,1
880802cec3fffff,15,3
880802cec7fffff,8,1
880802cec9fffff,27,4
880802cecbfffff,18,3
880802ced1fffff,25,7
880802ced3fffff,8,3
880802ced5fffff,5,2
880802ced7fffff,7,1
880802ceddfffff,5,2
880802cee3fffff,15,3
880802cee7fffff,3,1
880802cee9fffff,11,1
880802ceebfffff,7,1
880802ceedfffff,10,2
880802cf01fffff,20,2
880802cf03fffff,23,5
880802cf05fffff,5,3
880802cf07fffff,12,3
880802cf0dfffff,2,1
880802cf11fffff,8,2
880802cf13fffff,9,3
880802cf15fffff,7,2
880802cf17fffff,13,4
880802cf19fffff,2,1
880802cf1bfffff,4,1
880802cf21fffff,84,6
880802cf23fffff,47,4
880802cf25fffff,79,4
880802cf27fffff,45,4
880802cf29fffff,10,4
880802cf2bfffff,26,5
880802cf31fffff,14,5
880802cf33fffff,7,2
880802cf35fffff,19,3
880802cf37fffff,1,1
880802cf39fffff,5,2
880802cf3bfffff,2,1
880802cf3dfffff,10,1
880802cf49fffff,140,2
880802cf4dfffff,11,2
880802cf53fffff,2,1
880802cf63fffff,3,1
880802cf65fffff,4,2
880802cf69fffff,3,1
880802cf6dfffff,6,2
880802d001fffff,3,1
880802d019fffff,5,2
880802d01bfffff,9,3
880802d051fffff,6,2
880802d05dfffff,2,2
880802d069fffff,6,1
880802d089fffff,3,1
880802d08bfffff,11,3
880802d099fffff,14,3
880802d09bfffff,13,3
880802d09dfffff,4,1
880802d0a1fffff,3,2
880802d0a3fffff,9,4
880802d0a5fffff,1,1
880802d0a7fffff,4,1
880802d0c1fffff,12,4
880802d0c3fffff,11,3
880802d0cdfffff,7,3
880802d0d5fffff,3,2
880802d199fffff,1,1
880802d1d3fffff,7,2
880802d237fffff,1,1
880802d311fffff,3,1
880802d31dfffff,2,1
880802d35dfffff,2,1
880802d425fffff,7,3
880802d4a5fffff,12,1
880802d4a7fffff,87,5
880802d519fffff,1,1
880802d541fffff,1,1
880802d54dfffff,13,2
880802d553fffff,9,2
880802d593fffff,64,4
880802d599fffff,19,2
880802d59bfffff,97,4
880802d5d3fffff,1,1
880802d613fffff,3,1
880802d615fffff,1,1
880802d617fffff,6,2
880802d61dfffff,6,2
880802d68dfffff,1,1
880802d6bdfffff,2,1
880802d6e9fffff,4,1
880802d809fffff,1,1
880802d817fffff,5,1
880802d823fffff,24,4
880802d825fffff,12,2
880802d827fffff,20,4
880802d831fffff,5,1
880802d833fffff,14,3
880802d835fffff,33,5
880802d837fffff,11,3
880802d839fffff,2,1
880802d83bfffff,4,1
880802d83dfffff,2,1
880802d843fffff,11,3
880802d847fffff,8,3
880802d851fffff,7,1
880802d855fffff,3,2
880802d85bfffff,2,1
880802d85dfffff,2,1
880802d869fffff,4,1
880802d8a7fffff,3,2
880802d8e5fffff,6,2
880802d8e7fffff,11,2
880802d8e9fffff,1,1
880802d90bfffff,11,4
880802d919fffff,5,1
880802d91bfffff,11,1
880802d951fffff,14,3
880802d955fffff,10,4
880802d957fffff,5,2
880802d989fffff,2,1
880802d98bfffff,10,2
880802d991fffff,1,1
880802d999fffff,4,1
880802d99bfffff,15,3
880802d9c1fffff,14,5
880802d9c3fffff,10,1
880802d9c5fffff,33,4
880802d9c7fffff,4,1
880802d9c9fffff,21,3
880802d9cbfffff,11,1
880802d9cdfffff,7,2
880802d9d1fffff,2,1
880802d9d5fffff,4,1
880802d9d7fffff,2,1
880802d9d9fffff,8,1
880802d9dbfffff,11,2
880802da81fffff,2,1
880802da83fffff,26,5
880802da85fffff,28,3
880802da87fffff,7,1
880802da89fffff,8,3
880802da8bfffff,10,2
880802da8dfffff,14,2
880802da95fffff,2,1
880802daa1fffff,11,2
880802daa9fffff,55,5
880802daabfffff,133,5
880802daadfffff,3,2
880802dab1fffff,25,4
880802dab3fffff,7,3
880802dab9fffff,24,2
880802dabdfffff,47,4
880802dad3fffff,5,1
880802dad7fffff,4,1
880802dad9fffff,12,3
880802dae1fffff,1,1
880802dae3fffff,16,3
880802dae7fffff,7,2
880802dae9fffff,14,3
880802daebfffff,4,1
880802db05fffff,5,2
880802db07fffff,5,3
880802db0dfffff,2,1
880802db11fffff,2,1
880802db13fffff,5,1
880802db15fffff,5,1
880802db17fffff,1,1
880802db39fffff,2,1
880802db3bfffff,2,1
8808030041fffff,2,1
8808030127fffff,3,1
8808030129fffff,2,1
8808030141fffff,4,2
8808030145fffff,10,3
8808030147fffff,3,1
880803014bfffff,6,2
880803014dfffff,3,1
8808030169fffff,6,1
880803016bfffff,2,1
8808030301fffff,3,1
8808030303fffff,74,5
8808030305fffff,1,1
8808030307fffff,44,4
8808030329fffff,4,1
880803032bfffff,3,1
8808030331fffff,7,1
880803033dfffff,17,3
8808030847fffff,3,1
8808030909fffff,11,4
880803090bfffff,5,1
8808030911fffff,5,1
8808030917fffff,2,1
880803091dfffff,4,1
8808030941fffff,2,1
8808030943fffff,15,1
8808030945fffff,5,3
8808030947fffff,11,2
8808030955fffff,7,1
8808030957fffff,8,2
8808030969fffff,10,2
8808030a11fffff,8,1
8808030a13fffff,6,2
8808030a1bfffff,2,1
8808030a51fffff,1,1
8808030a53fffff,7,1
8808030a5bfffff,5,2
8808031023fffff,1,1
8808031027fffff,5,2
8808031029fffff,9,1
8808031035fffff,3,2
8808031045fffff,11,2
8808031063fffff,5,2
880803106bfffff,24,4
8808031183fffff,9,2
880803118bfffff,5,1
88080311b9fffff,5,1
88080311bbfffff,6,1
88080311c9fffff,8,3
88080311cbfffff,5,3
88080311d5fffff,7,2
88080311d7fffff,7,1
88080311ddfffff,4,1
880803125dfffff,4,1
8808031311fffff,5,1
8808031319fffff,1,1
880803131bfffff,5,2
880803134bfffff,5,1
8808031351fffff,1,1
8808031357fffff,2,1
880803135dfffff,22,2
8808031549fffff,2,1
880803162dfffff,12,1
8808031753fffff,4,1
8808031757fffff,8,3
88080318d3fffff,5,1
88080318d7fffff,5,1
880803412dfffff,1,1
880803413dfffff,1,1
8808034165fffff,13,4
8808034a51fffff,3,1
8808034a53fffff,1,1
8808034a59fffff,6,3
8808034a5bfffff,2,2
8808034a99fffff,1,1
8808034a9bfffff,2,2
8808034ad1fffff,1,1
8808034ad3fffff,1,1
8808034adbfffff,2,1
8808034c05fffff,6,1
8808034c23fffff,3,1
8808034c2bfffff,2,1
8808034c35fffff,2,1
8808034c37fffff,2,1
8808034c3dfffff,2,1
8808034c67fffff,12,3
8808034ca3fffff,2,1
8808034d05fffff,2,2
8808034d09fffff,3,1
8808034d63fffff,3,1
8808034dd1fffff,4,2
8808034dd3fffff,12,3
8808034dd9fffff,18,2
8808034ddbfffff,32,2
8808034dddfffff,40,3
8808034ec3fffff,2,1
8808034ec9fffff,2,1
8808034ecdfffff,2,1
8808034f01fffff,3,1
8808034f09fffff,6,1
8808034f0bfffff,1,1
8808034f31fffff,7,1
8808034f39fffff,9,3
8808035001fffff,13,2
8808035003fffff,2,1
8808035005fffff,5,2
8808035007fffff,7,2
8808035021fffff,10,3
8808035023fffff,13,3
8808035025fffff,1,1
8808035027fffff,4,3
8808035029fffff,17,5
880803502bfffff,16,2
880803502dfffff,16,4
8808035037fffff,1,1
8808035061fffff,93,5
8808035063fffff,27,5
8808035065fffff,147,7
8808035067fffff,153,5
8808035069fffff,7,1
880803506dfffff,25,4
8808035081fffff,19,4
8808035085fffff,5,1
8808035089fffff,11,1
88080350d3fffff,8,2
88080350d5fffff,4,1
88080350edfffff,16,4
8808035119fffff,11,2
8808035153fffff,31,4
8808035159fffff,22,2
880803515bfffff,10,2
88080351c9fffff,14,3
8808035301fffff,39,6
8808035303fffff,18,3
8808035305fffff,2,1
8808035307fffff,12,4
8808035309fffff,12,2
880803530bfffff,2,1
880803530dfffff,4,1
8808035315fffff,12,1
8808035331fffff,11,2
8808035333fffff,27,4
8808035335fffff,4,1
8808035337fffff,5,1
8808035339fffff,10,3
880803533bfffff,5,1
880803533dfffff,7,2
8808035341fffff,6,2
8808035343fffff,6,1
8808035347fffff,2,1
880803534dfffff,3,1
880803540bfffff,8,3
880803540dfffff,1,1
8808035413fffff,11,2
8808035461fffff,1,1
8808035465fffff,4,3
8808035469fffff,10,2
8808035493fffff,8,3
88080354c5fffff,7,1
880803554bfffff,3,1
880803554dfffff,9,2
8808035559fffff,2,1
880803555dfffff,5,1
8808035705fffff,17,3
8808035711fffff,4,1
8808035715fffff,1,1
8808035717fffff,18,3
8808035729fffff,3,1
880803572bfffff,2,1
8808035731fffff,5,1
8808035735fffff,2,1
8808035737fffff,11,2
8808035801fffff,26,6
8808035803fffff,69,4
8808035805fffff,5,2
8808035807fffff,13,1
8808035809fffff,4,1
880803580bfffff,3,1
8808035815fffff,27,2
8808035831fffff,8,1
8808035839fffff,17,2
880803583bfffff,14,2
8808035845fffff,7,2
8808035847fffff,27,3
88080358a1fffff,3,2
88080358a5fffff,10,3
88080358abfffff,2,1
88080358adfffff,11,2
88080358e1fffff,1,1
88080358e5fffff,1,1
88080358e7fffff,3,1
88080358e9fffff,5,1
88080358edfffff,9,3
880803599dfffff,6,2
88080359d9fffff,2,1
88080359dbfffff,29,4
8808035a65fffff,23,3
8808035b03fffff,8,2
8808035b09fffff,15,2
8808035b1dfffff,7,1
8808035b51fffff,26,5
8808035b53fffff,7,1
8808035b55fffff,7,2
8808035b57fffff,5,1
8808035b59fffff,25,4
8808035b5bfffff,23,4
8808036809fffff,3,1
880803680bfffff,8,3
8808036843fffff,12,1
8808036855fffff,1,1
8808036857fffff,7,2
880803686dfffff,6,3
88080368a1fffff,5,2
88080368a3fffff,1,1
88080368a7fffff,16,2
88080368adfffff,102,5
88080368b5fffff,7,2
88080368e7fffff,67,2
8808036913fffff,1,1
8808036919fffff,3,1
880803691bfffff,2,1
880803691dfffff,6,2
8808036955fffff,2,1
8808036957fffff,6,2
8808036989fffff,5,1
8808036999fffff,6,2
880803699bfffff,8,2
880803699dfffff,1,1
88080369c1fffff,5,1
88080369c3fffff,4,1
88080369c7fffff,3,2
88080369cdfffff,3,2
88080369d1fffff,6,2
88080369d3fffff,28,4
88080369d5fffff,12,3
88080369dbfffff,43,4
88080369ebfffff,6,2
8808036b21fffff,3,1
8808036b25fffff,4,1
8808036b27fffff,4,1
8808036b2dfffff,5,1
8808036b3bfffff,1,1
8808036b69fffff,84,4
8808036b6bfffff,31,2
8808036dabfffff,10,1
8808036db5fffff,3,2
8808036dbdfffff,1,1
8808036de7fffff,5,2
8808037831fffff,3,1
8808037835fffff,6,1
8808038085fffff,2,1
8808038087fffff,2,1
880803808bfffff,4,2
880803808dfffff,2,1
8808038099fffff,1,1
880803809dfffff,27,4
88080380b1fffff,15,2
88080380b3fffff,4,2
88080380b5fffff,2,1
88080380b7fffff,6,2
88080380bbfffff,2,1
88080380bdfffff,14,5
88080380d7fffff,2,1
8808038187fffff,1,1
88080381a1fffff,5,1
88080381a3fffff,11,2
88080381bdfffff,1,1
88080381e1fffff,2,1
88080381e9fffff,9,2
88080381edfffff,7,2
880803832dfffff,8,2
880803834dfffff,2,2
8808038365fffff,21,2
8808038367fffff,2,1
880803836dfffff,13,2
8808038509fffff,2,1
880803850bfffff,5,1
880803851dfffff,7,2
8808038541fffff,3,1
8808038543fffff,3,1
8808038545fffff,4,1
8808038547fffff,5,1
8808038549fffff,1,1
880803854dfffff,4,1
8808038555fffff,5,1
880803855dfffff,2,1
88080385a5fffff,10,2
88080385e7fffff,1,1
8808038801fffff,5,2
8808038803fffff,3,2
8808038815fffff,13,1
880803883bfffff,1,1
8808038843fffff,6,1
880803886bfffff,7,3
8808038881fffff,6,1
8808038885fffff,1,1
8808038887fffff,7,3
880803888dfffff,2,1
8808038899fffff,4,1
88080388abfffff,2,1
88080388adfffff,2,1
88080388b1fffff,2,1
88080388b9fffff,1,1
88080388c9fffff,1,1
88080388cbfffff,2,1
88080388d3fffff,5,3
88080388e1fffff,1,1
88080388e3fffff,1,1
88080388edfffff,5,2
8808038985fffff,2,1
8808038989fffff,5,1
880803898dfffff,2,1
88080389b1fffff,4,1
88080389b5fffff,3,1
88080389b7fffff,3,2
88080389c7fffff,7,2
88080389c9fffff,4,1
88080389cdfffff,1,1
8808038a03fffff,6,2
8808038a11fffff,3,1
8808038a1dfffff,9,3
8808038a21fffff,2,1
8808038a25fffff,4,1
8808038a3bfffff,9,1
8808038a41fffff,9,3
8808038a43fffff,1,1
8808038a49fffff,3,1
8808038a4bfffff,5,2
8808038a55fffff,2,1
8808038a57fffff,12,3
8808038a8dfffff,7,2
8808038aabfffff,2,1
8808038abbfffff,5,2
8808038ac7fffff,7,3
8808038aebfffff,1,1
8808038b09fffff,9,2
8808038b31fffff,7,1
8808038b45fffff,1,1
8808038b4bfffff,4,1
8808038b55fffff,10,2
8808038b63fffff,2,1
8808038c11fffff,2,1
8808038c61fffff,1,1
8808038c85fffff,7,3
8808038c87fffff,1,1
8808038ca9fffff,2,1
8808038cabfffff,4,2
8808038cb5fffff,2,1
8808038cbbfffff,2,1
8808038cbdfffff,8,2
8808038ce3fffff,22,6
8808038d15fffff,6,1
8808038d1dfffff,2,1
8808038d41fffff,6,1
8808038d43fffff,1,1
8808038d5bfffff,2,1
8808038d65fffff,7,2
8808038d81fffff,3,1
8808038d85fffff,3,1
8808038dabfffff,4,1
8808038dc5fffff,2,1
8808038dcdfffff,2,1
8808038de1fffff,6,1
8808038de3fffff,4,1
8808038de9fffff,2,1
8808038e0bfffff,9,2
8808038e13fffff,11,1
8808038e15fffff,13,3
8808038e17fffff,5,1
8808038e1bfffff,30,3
8808038e1dfffff,5,2
8808038e43fffff,2,1
8808038e45fffff,2,1
8808038e59fffff,11,2
8808038e5bfffff,6,1
8808038e81fffff,67,7
8808038e83fffff,22,4
8808038e87fffff,12,4
8808038e89fffff,6,1
8808038e8bfffff,42,6
8808038e8dfffff,33,3
8808038e91fffff,18,4
8808038e93fffff,3,1
8808038e95fffff,13,3
8808038e9dfffff,19,3
8808038eb9fffff,8,2
8808038ebdfffff,6,1
8808038ec5fffff,6,2
8808038ec7fffff,12,3
8808038ec9fffff,4,1
8808038ecdfffff,5,1
8808038ed7fffff,10,2
8808038eebfffff,4,2
8808038f05fffff,3,1
8808038f09fffff,13,3
8808038f0bfffff,3,1
8808038f0dfffff,27,5
8808038f25fffff,4,2
8808038f27fffff,1,1
8808038f2dfffff,2,2
8808038f31fffff,1,1
8808038f41fffff,13,3
8808038f49fffff,5,1
8808038f61fffff,3,2
8808038f63fffff,12,2
8808038f67fffff,4,1
8808038f69fffff,4,1
8808038f6bfffff,3,1
8808038f6dfffff,5,2
880803910bfffff,14,2
8808039141fffff,46,4
8808039143fffff,29,4
8808039149fffff,11,3
880803914bfffff,11,2
8808039155fffff,21,3
880803915dfffff,3,1
880803920dfffff,2,1
880803921bfffff,1,1
8808039247fffff,3,1
8808039301fffff,7,1
8808039309fffff,13,2
880803930dfffff,17,4
8808039325fffff,16,3
8808039327fffff,18,3
8808039341fffff,6,1
8808039343fffff,2,2
8808039349fffff,3,2
880803934bfffff,4,1
8808039353fffff,1,1
8808039355fffff,8,1
8808039359fffff,11,4
880803935dfffff,2,1
8808039363fffff,24,5
8808039365fffff,29,4
8808039367fffff,31,5
880803936dfffff,3,1
8808039825fffff,16,3
8808039827fffff,4,1
880803982dfffff,6,1
8808039833fffff,2,1
880803984bfffff,1,1
880803984dfffff,1,1
8808039865fffff,1,1
8808039867fffff,7,2
880803986dfffff,4,1
8808039881fffff,6,2
8808039889fffff,2,1
880803988dfffff,2,1
88080398a1fffff,1,1
88080398a9fffff,2,1
88080398b9fffff,2,1
88080398bdfffff,4,1
88080398c1fffff,4,1
88080398cbfffff,2,1
88080398d5fffff,5,1
88080398d9fffff,20,3
88080398ddfffff,5,2
88080398e3fffff,6,1
88080398ebfffff,1,1
8808039905fffff,1,1
8808039911fffff,15,3
8808039913fffff,9,2
8808039917fffff,7,1
8808039919fffff,4,1
880803991bfffff,8,2
8808039921fffff,5,2
8808039923fffff,19,2
8808039929fffff,16,4
880803992bfffff,3,1
8808039941fffff,4,1
8808039943fffff,7,1
8808039945fffff,18,3
8808039947fffff,7,3
8808039949fffff,2,1
8808039953fffff,9,3
8808039957fffff,19,3
8808039959fffff,3,1
8808039961fffff,1,1
8808039963fffff,5,3
8808039965fffff,4,2
8808039969fffff,1,1
880803996bfffff,10,4
880803996dfffff,2,1
8808039985fffff,6,2
880803998dfffff,7,3
8808039999fffff,2,1
88080399a1fffff,567,7
88080399a3fffff,13,4
88080399a5fffff,73,1
88080399a7fffff,33,3
88080399a9fffff,432,6
88080399abfffff,297,4
88080399adfffff,231,5
88080399b7fffff,3,1
88080399c5fffff,10,3
88080399cdfffff,5,3
88080399d1fffff,3,1
88080399e7fffff,161,2
88080399e9fffff,21,4
88080399ebfffff,11,3
88080399edfffff,4,1
8808039a21fffff,20,5
8808039a27fffff,2,1
8808039a29fffff,4,1
8808039a31fffff,5,3
8808039a3dfffff,7,1
8808039a4dfffff,18,4
8808039a59fffff,9,1
8808039a5bfffff,14,3
8808039a61fffff,6,1
8808039a65fffff,4,1
8808039a69fffff,2,1
8808039a6dfffff,3,1
8808039a83fffff,8,2
8808039a8bfffff,17,2
8808039a95fffff,10,4
8808039a9bfffff,22,3
8808039a9dfffff,13,2
8808039ab3fffff,14,3
8808039ab9fffff,5,1
8808039abbfffff,5,1
8808039b11fffff,3,2
8808039b19fffff,1,1
8808039b25fffff,13,2
8808039b29fffff,2,1
8808039b2dfffff,2,1
8808039b41fffff,3,1
8808039b47fffff,5,1
8808039b49fffff,2,2
8808039b4bfffff,10,3
8808039b53fffff,2,1
8808039b5bfffff,20,3
8808039b5dfffff,2,1
8808039b61fffff,6,2
8808039b63fffff,5,2
8808039b65fffff,5,2
8808039b67fffff,15,3
8808039b69fffff,4,2
880803b929fffff,3,2
880803b92dfffff,3,1
880803b967fffff,2,1
880803b96dfffff,2,1
880803c089fffff,1,1
880803c46bfffff,7,2
880803c665fffff,12,1
880803c711fffff,1,1
880803c713fffff,6,2
880803c717fffff,2,1
880803c71bfffff,1,1
880803c71dfffff,25,6
880803c751fffff,26,4
880803c757fffff,15,3
880803c759fffff,28,4
880803c75bfffff,13,2
880803c923fffff,7,1
880803c929fffff,5,2
880803c92bfffff,3,1
880803c935fffff,2,2
880803c93dfffff,1,1
880803d125fffff,4,2
880803d129fffff,2,1
880803d12dfffff,4,1
880803d161fffff,4,1
880803d16dfffff,2,1
880803d325fffff,3,1
880803d327fffff,5,1
880803d413fffff,5,1
880803d469fffff,4,1
880803d4e5fffff,2,1
880803d591fffff,3,1
880803d625fffff,9,1
880803d62dfffff,19,4
880803d667fffff,1,1
880803d689fffff,7,2
880803d693fffff,5,2
880803d69bfffff,7,1
880803d6a9fffff,5,1
880803d6c1fffff,15,1
880803d6c3fffff,2,1
880803d6c7fffff,12,1
880803d6c9fffff,17,4
880803d6e3fffff,7,2
880803d6e9fffff,9,1
880803d6ebfffff,5,1
880803d70bfffff,1,1
880803d719fffff,1,1
880803d75bfffff,2,1
880803d925fffff,4,1
880803d965fffff,3,1
880803d96dfffff,4,2
880803da13fffff,3,1
880803dae7fffff,4,1
880803db25fffff,10,2
88080608b3fffff,1,1
88080608b7fffff,5,2
8808060901fffff,3,1
8808060909fffff,18,2
880806090dfffff,1,1
8808060911fffff,6,2
8808060913fffff,11,2
8808060917fffff,6,1
880806091bfffff,3,2
8808060921fffff,25,5
8808060923fffff,8,1
8808060927fffff,2,1
8808060929fffff,21,3
880806092bfffff,11,2
880806092dfffff,4,2
8808060933fffff,5,2
8808060935fffff,26,4
8808060937fffff,3,1
880806093bfffff,3,1
8808060941fffff,6,1
8808060945fffff,65,7
8808060947fffff,25,4
8808060949fffff,2,1
8808060953fffff,2,1
8808060961fffff,11,4
8808060963fffff,5,3
8808060967fffff,12,1
8808060969fffff,36,6
880806096dfffff,21,5
8808060981fffff,47,3
8808060983fffff,15,4
8808060985fffff,19,4
8808060987fffff,6,2
8808060989fffff,97,4
880806098bfffff,2,1
880806098dfffff,41,4
8808060995fffff,4,1
88080609a1fffff,8,1
88080609a3fffff,20,4
88080609a9fffff,4,2
88080609b1fffff,4,1
88080609b5fffff,10,2
88080609b9fffff,2,1
88080609bbfffff,2,2
88080609c1fffff,14,4
88080609c3fffff,22,5
88080609c5fffff,28,4
88080609c7fffff,87,4
88080609c9fffff,7,3
88080609cbfffff,15,4
88080609cdfffff,8,4
88080609e1fffff,9,1
88080609e3fffff,18,4
88080609e7fffff,1,1
88080609edfffff,17,4
8808060b23fffff,3,2
8808060b25fffff,11,3
8808060b27fffff,42,3
8808060b2dfffff,3,1
8808060c07fffff,10,1
8808060c11fffff,2,1
8808060c13fffff,1,1
8808060c15fffff,7,2
8808060c19fffff,8,3
8808060c1bfffff,6,2
8808060c39fffff,7,3
8808060c3bfffff,5,1
8808060c51fffff,6,3
8808060c53fffff,12,4
8808060c59fffff,5,2
8808060c5bfffff,4,1
8808060c5dfffff,2,1
8808060c8bfffff,14,3
8808060c91fffff,52,4
8808060c93fffff,30,2
8808060c9bfffff,9,2
8808060c9dfffff,15,3
8808060ca1fffff,1,1
8808060ca3fffff,4,3
8808060ca5fffff,4,1
8808060cabfffff,1,1
8808060cb1fffff,2,1
8808060cbdfffff,4,1
8808060cd1fffff,5,1
8808060cd5fffff,2,1
8808060cd7fffff,9,3
8808060cd9fffff,19,2
8808060cddfffff,8,2
8808060d17fffff,3,1
8808060d39fffff,6,3
8808060d89fffff,2,2
8808060d8bfffff,2,1
8808060d8dfffff,16,3
8808060d9bfffff,9,4
8808060d9dfffff,3,1
8808060dbbfffff,2,1
8808060dd7fffff,8,2
8808060de1fffff,3,1
8808060de3fffff,11,4
8808060de9fffff,3,2
8808060debfffff,22,4
8808060dedfffff,3,2
8808060ea1fffff,4,1
8808060ea5fffff,6,1
8808060eb3fffff,3,1
8808060eb7fffff,11,2
8808060ee5fffff,5,2
8808062023fffff,7,2
8808062027fffff,5,1
880806202bfffff,10,1
88080620b1fffff,6,3
88080620b3fffff,1,1
88080620b9fffff,2,1
88080620bbfffff,1,1
88080620e3fffff,1,1
8808062107fffff,2,1
8808062109fffff,14,3
880806210dfffff,25,4
8808062111fffff,2,1
8808062113fffff,25,4
8808062115fffff,16,5
8808062117fffff,89,6
880806211bfffff,26,3
8808062121fffff,3,1
8808062125fffff,8,1
8808062127fffff,3,1
880806213bfffff,1,1
8808062143fffff,2,1
8808062145fffff,16,2
8808062147fffff,2,1
8808062155fffff,1,1
880806215dfffff,7,3
8808062161fffff,6,2
8808062165fffff,2,1
8808062169fffff,29,5
880806216bfffff,8,4
880806216dfffff,1,1
8808062189fffff,4,2
8808062195fffff,9,3
8808062197fffff,12,3
88080621b9fffff,15,4
88080621bbfffff,4,1
88080621c5fffff,5,1
88080621c7fffff,3,1
88080621c9fffff,1,1
88080621cdfffff,12,2
88080621e3fffff,6,1
88080621e9fffff,16,2
88080621edfffff,5,1
8808062349fffff,2,1
880806235bfffff,4,1
880806240dfffff,2,1
8808062429fffff,3,1
8808062463fffff,3,3
8808062467fffff,4,1
880806246bfffff,2,1
88080624a3fffff,1,1
8808062507fffff,7,3
8808062515fffff,3,2
8808062517fffff,4,1
8808062521fffff,13,2
8808062523fffff,3,1
8808062529fffff,2,1
880806252bfffff,4,1
8808062539fffff,1,1
880806253dfffff,6,2
8808062565fffff,66,3
8808062567fffff,59,4
8808062593fffff,1,1
88080625a1fffff,3,2
88080625a5fffff,5,1
88080625a9fffff,1,1
88080625abfffff,3,1
88080625b3fffff,30,3
88080625e7fffff,2,1
8808062893fffff,5,1
8808062a23fffff,3,1
8808062a29fffff,1,1
8808062a31fffff,3,1
