layer_id,layer_key,label,group_id,source_path,source_exists,geometry_family,feature_count,geojson_path,distance_path,analysis_rds_path,analysis_base_buffer_m,status,message
valuable_cultural_environment,valuable_cultural_environment_slks,Valuable cultural environment,culture,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/PDK_vaerdifuldtkulturmiljoe_BOR_32.shp,TRUE,polygon,123,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/valuable_cultural_environment.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/valuable_cultural_environment.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/valuable_cultural_environment.rds,0,ok,NA
cultural_conservation_values,cultural_and_historical_conservation_values_kulturhistoriske_bevaringsvardier_pdk_kulturhistoriskebevaringsvardier_bor_32,Cultural conservation values,culture,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/PDK_kulturhistoriskebevaringsværdier_BOR_32.shp,TRUE,polygon,16,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/cultural_conservation_values.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/cultural_conservation_values.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/cultural_conservation_values.rds,0,ok,NA
protected_areas,protected_areas_fredede_omrader_miljostyrelsen_st_mp_arealdata_fredede_omr_121224_diss_bor_32,Protected areas,protected,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/ST-MP-Arealdata_FREDEDE-OMR-121224_Diss_BOR+_32.shp,TRUE,polygon,1,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/protected_areas.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/protected_areas.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/protected_areas.rds,0,ok,NA
natura_designated_land,natura_2000_specially_designated_land_areas,Natura 2000 designated land,protected,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/MST-MP-Arealdata_Natura2000-saer-utpegt-omr_BOL+_32.shp,TRUE,polygon,143,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/natura_designated_land.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/natura_designated_land.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/natura_designated_land.rds,0,ok,NA
natura_bird_protection,natura_2000_bird_protection,Natura bird protection,protected,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/MST-MP-Arealdata_Natura2000-Bird-protection_BOL+_32.shp,TRUE,polygon,3,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/natura_bird_protection.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/natura_bird_protection.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/natura_bird_protection.rds,0,ok,NA
natura_habitat_areas,natura_2000_habitat_areas_dai,Natura habitat areas,protected,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/MST-MP-Arealdata_Natura2000-HABITAT-OMR_BOL+_32.shp,TRUE,polygon,8,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/natura_habitat_areas.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/natura_habitat_areas.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/natura_habitat_areas.rds,0,ok,NA
natura_ramsar,natura_2000_ramsar,Natura Ramsar,protected,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/MST-MP-Arealdata_Natura2000-Ramsar-omr_BOL+_32.shp,TRUE,polygon,1,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/natura_ramsar.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/natura_ramsar.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/natura_ramsar.rds,0,ok,NA
nature_wildlife_reserve,natur_vildt_reservat,Nature and wildlife reserve,protected,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Inkommande_SL01/IN_Bornholm_SL01/DATAKÄLLA_INNEHÅLL_BOL_SL01/Danmarks_Miljøportal-Arealdata/NATUR_VILDT_RESERVAT_121224_SHAPE/NATUR_VILDT_RESERVAT.shp,TRUE,polygon,3,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/nature_wildlife_reserve.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/nature_wildlife_reserve.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/nature_wildlife_reserve.rds,0,ok,NA
nature_area_forest,nature_area_forest_dk_sn_label_nature_area_bol_33,Nature-area forest,protected,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Basmap_BOR/DK-SN_Label_Nature-area_BOL+_33.shp,TRUE,polygon,83,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/nature_area_forest.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/nature_area_forest.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/nature_area_forest.rds,0,ok,NA
aviation_approach_zones,aviation_approach_zones_tst,Aviation approach zones,aviation_approach,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/TST-NST_Aviation-Indflyvningzoner_BOL+_33.shp,TRUE,polygon,10,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/aviation_approach_zones.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/aviation_approach_zones.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/aviation_approach_zones.rds,0,ok,NA
aviation_bird_collision,aviation_bird_collision_zones_tst,Aviation bird-collision zones,aviation_bird,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Inkommande_SL01/IN_Bornholm_SL01/DATAKÄLLA_INNEHÅLL_BOL_SL01/Trafikstyrelsen/Luftfart_Trafikstyrelsen/ds_fuglekollision_wfs.shp,TRUE,polygon,1,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/aviation_bird_collision.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/aviation_bird_collision.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/aviation_bird_collision.rds,0,ok,NA
military_areas,militara_omraden_plst,Military areas,military,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/PDK_KPTA-V_Militar-ovn-omr_BOR_32.shp,TRUE,polygon,4,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/military_areas.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/military_areas.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/military_areas.rds,0,ok,NA
coastal_zone_3km,coastal_zone_kystnarhedszonen_3_km_miljoministeriet_plst_pdk_kystnaerhedszone_polygon_bor_32,Coastal zone 3 km,coastal,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/PDK_kystnaerhedszone-polygon_BOR_32.shp,TRUE,polygon,128,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/coastal_zone_3km.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/coastal_zone_3km.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/coastal_zone_3km.rds,0,ok,NA
strand_protection,strandbeskyttelse_miljostyrelsen_gds_mat2_strandbeskyttelse_merge_bor_32,Strand protection,coastal,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/GDS-MAT2_strandbeskyttelse__MERGE_BOR_32.shp,TRUE,polygon,1,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/source_geojson/strand_protection.geojson,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/distance_tables/strand_protection.csv,docs/geocontext/acceptance_framework/data/prototype_assets_dagi_landsdel/analysis_rds/strand_protection.rds,0,ok,NA
