"hex_id","hex_area_m2","potential_area_m2","potential_area_km2","potential_area_share_pct"
"8a1f2a0dd507fff",12665.896230232,824.1583952941,0.0008241583952941,6.50690942285579
"8a1f2a0dd577fff",12665.9599854983,1939.22460285667,0.00193922460285667,15.3105221007879
"8a1f2a0dd517fff",12666.0451515354,636.492808069102,0.000636492808069102,5.02518979250555
"8a1f2a0dd50ffff",12666.1089194454,10273.7129341112,0.0102737129341112,81.1118315770892
"8a1f2a0dd547fff",12666.1726693064,3481.31775065325,0.00348131775065325,27.4851594206468
"8a1f2a0dd5a7fff",12666.1940647699,3302.64507990796,0.00330264507990796,26.0744866454718
"8a1f2a0dd51ffff",12666.2578461021,10355.5017311443,0.0103555017311443,81.7565997547653
"8a1f2a0dd557fff",12666.3216084242,8157.43294037133,0.00815743294037133,64.402540789316
"8a1f2a0dd5b7fff",12666.3429702856,1948.46640179504,0.00194846640179504,15.3830226006513
"8a1f2a0dd5affff",12666.4067641497,12614.9709781362,0.0126149709781362,99.5939196729488
"8a1f2a0dd427fff",12666.4705402032,12573.8469836581,0.0125738469836581,99.2687500732661
"8a1f2a0dd55ffff",12666.534297388,10661.4215302989,0.0106614215302989,84.1699969382893
"8a1f2a0dd587fff",12666.555675704,12666.5556757171,0.0126665556757171,100
"8a1f2a0dd437fff",12666.6194642186,12666.619464213,0.012666619464213,99.9999999999559
"8a1f2a0dd42ffff",12666.6832340397,12428.9458181074,0.0124289458181074,98.1231281185479
"8a1f2a0dd597fff",12666.7045786865,12124.2658638693,0.0121242658638693,95.7176019109983
"8a1f2a0dd467fff",12666.7469856925,3676.77676360589,0.00367677676360589,29.0270009163277
"8a1f2a0dd58ffff",12666.7683806829,12666.7654768825,0.0126667654768825,99.9999770754436
"8a1f2a0dd407fff",12666.8321634308,12544.2531871088,0.0125442531871088,99.0322838832913
"8a1f2a0d8967fff",12666.8534745835,9736.57193907723,0.00973657193907723,76.8665395760204
"8a1f2a0dd477fff",12666.895927988,11434.4668198223,0.0114344668198223,90.2704726148214
"8a1f2a0dd59ffff",12666.9172889441,12666.8926324863,0.0126668926324863,99.9998053476054
"8a1f2a0dd417fff",12666.9810848162,12616.3690942496,0.0126163690942496,99.6004415714551
"8a1f2a0d8977fff",12667.0023622774,3083.40315844677,0.00308340315844677,24.3420113951287
"8a1f2a0dd40ffff",12667.0448622257,12546.4062066157,0.0125464062066157,99.0476179967614
"8a1f2a0d896ffff",12667.0661900006,12667.0661900174,0.0126670661900174,100
"8a1f2a0dd447fff",12667.108621303,4700.82250256138,0.00470082250256138,37.1104617722764
"8a1f2a0dd4a7fff",12667.1299988143,12667.0788309891,0.0126670788309891,99.9995960582607
"8a1f2a0d890ffff",12667.1512426138,513.070022390224,0.000513070022390224,4.05039785634039
"8a1f2a0dd41ffff",12667.1937893406,12667.1772282682,0.0126671772282682,99.9998692601329
"8a1f2a0d8947fff",12667.2150828093,12667.1969009852,0.0126671969009852,99.9998564654977
"8a1f2a0dd457fff",12667.2575610168,12667.2543628664,0.0126672543628664,99.999974752622
"8a1f2a0dd4b7fff",12667.2789044902,12667.278904492,0.012667278904492,100
"8a1f2a0dd4affff",12667.3427080102,12667.3196364287,0.0126673196364287,99.9998178656564
"8a1f2a0d8957fff",12667.3639683984,12394.0511107296,0.0123940511107296,97.8423856901034
"8a1f2a0dd4e7fff",12667.4064932428,12667.4051376181,0.0126674051376181,99.9999892983243
"8a1f2a0d894ffff",12667.4278032929,12585.1537478059,0.0125851537478059,99.350507010858
"8a1f2a0dd45ffff",12667.4702596515,5600.6238247127,0.0056006238247127,44.2126463288556
"8a1f2a0dd487fff",12667.4916195348,12667.4916195422,0.0126674916195422,100
"8a1f2a0d8827fff",12667.5128460042,11643.3644772563,0.0116433644772563,91.915158238257
"8a1f2a0dd4f7fff",12667.5554174185,12667.5458884304,0.0126675458884304,99.9999247764251
"8a1f2a0d895ffff",12667.5766936839,12630.1741415138,0.0126301741415138,99.7047379062746
"8a1f2a0d8987fff",12667.5978368372,4846.3003199473,0.0048463003199473,38.2574532470106
"8a1f2a0dd4effff",12667.6191965714,12397.1265110178,0.0123971265110178,97.8646920044231
