"metric","value"
"analysis_id","bornholm_v9_k8_interactive_layers"
"source_analysis","bornholm_v3_higher_h3_cluster_k_review"
"cluster_solution","K=8"
"h3_resolution","res10"
"context_mode","mean + std, v1/v3 higher-H3 local context series"
"map_hex_count","47117"
"factor_views","F1, F2, F3, F4, F5"
"layer_modes","all clusters; individual cluster toggles; factor toggles; opacity slider"
"status","published pedagogical v9 demo"
