"metric","value"
"analysis_id","landskapsanalys_v3_2_contourterrain68_res9"
"rows","7286"
"columns","57"
"unique_hex_id","7286"
"duplicate_hex_id","0"
"source_model_n_hex","7286"
"excluded_zero_signal_hex","605"
"missing_context_rows","0"
"missing_raw_rows","0"
"acceptance_columns_in_export","0"
"context_mean_std_columns_in_export","9"
