class_km,class_k5,F1,F2,F3,F4,F5,n_hex,share,contour_hoyde_max_m,contour_hoyde_mean_m,landcover_skog_area_share,landcover_myr_area_share,landcover_apentomrade_area_share,landcover_havflate_area_share,lake_area_share,protected_nature_area_share,population_1km_pop_tot_sum,road_length_m_per_km2,coast_fjord_context_length_m_per_km2,landscape_type_id,landscape_type_name,color
1,1,-0.08795825078504245,-0.22578591341219212,0.27679392076538906,-0.06939503677372386,-0.06891019357593535,6330,0.45700671431665585,560.3175355450237,447.826196005838,0.4576199483695326,0.08509413608884253,0.3638308027110335,0.04114261204413856,0.05402181200403922,0.1484801632974312,10.93175355450237,278.6773946838915,77.65187379959006,LT01,relief/topography (high F3),#4e79a7
2,2,-0.7312810142594246,0.4426860634859904,-0.6462325026511224,0.8702486889691403,0.9167757259272372,3702,0.2672731210742907,497.622906537007,399.60006462766154,0.42710456685563625,0.06645183178685268,0.3447109778060543,0.09268306309624652,0.07108144749232073,0.12157787729545738,17.075634792004323,309.0993619404438,197.91267292544245,LT02,coast/water (high F5),#f28e2b
3,3,-3.0482967578693088,2.6297517026394694,-7.771455302006691,5.628377562206225,4.2770768151613305,73,0.00527037759006569,11.780821917808218,8.30013227130397,0,0,0.07262363284840478,0.8227912935010726,3.6334575877009e-4,0.2006940353286504,2.7534246575342465,23.028863261042403,702.1120988869782,LT03,relief/topography (low F3),#59a14f
4,4,0.01670889566683758,3.110530418559137,-0.1645562452563231,0.06109928246535608,0.186477816412996,564,0.04071908165475417,225.95744680851064,145.76254790760052,0.5254350457497567,0.0155563760052523,0.24112958291760897,0.14373018314965347,0.01913766407505858,0.02802480656116584,563.4468085106383,805.549299833506,198.5753425878656,LT04,settlement/infrastructure (high F2),#e15759
5,5,1.0927340944142288,-0.6775329998384638,0.4086653569266493,-1.0143688312814578,-1.0606858290416932,3182,0.2297307053642336,672.272155876807,553.640972381312,0.2898417568265505,0.05383017932462488,0.5144939521254385,0.09831517299659397,0.03918100406244209,0.3330762392084447,9.643306096794468,189.10451914778852,176.69218493419515,LT05,open land/landcover (high F1),#76b7b2
